city,state,Populacao_Estimada,Porcentagem_Populacao_Confirmado,Confirmados_Acumulado,Obitos_Acumulados,Taxa_Mortalidade,Taxa_Letalidade,Confirmacao_Dia,Obitos_Dia
Amorinópolis,GO,3069,11.14,342,6,0.20,1.75,0,0
Anhanguera,GO,1160,7.92,92,6,0.52,6.45,0,0
Anicuns,GO,21981,14.31,3146,67,0.30,2.13,0,0
Anápolis,GO,391772,11.22,43940,1618,0.41,3.68,3,1
Aparecida de Goiânia,GO,590146,12.72,75055,1579,0.27,2.10,0,0
Aparecida do Rio Doce,GO,2474,10.14,251,3,0.12,1.19,0,0
Aporé,GO,4232,8.98,380,10,0.24,2.62,0,0
Aragarças,GO,20273,15.18,3078,69,0.34,2.24,0,0
Aragoiânia,GO,10496,11.97,1256,23,0.22,1.83,0,0
Araguapaz,GO,7783,8.67,675,26,0.33,3.85,0,0
Araçu,GO,3486,13.54,472,17,0.49,3.59,0,0
Arenópolis,GO,2536,12.26,311,8,0.32,2.56,0,0
Aruanã,GO,10110,7.13,721,17,0.17,2.35,0,0
Aurilândia,GO,3058,8.56,262,9,0.29,3.42,0,0
Avelinópolis,GO,2409,13.15,317,14,0.58,4.40,0,0
Baliza,GO,5280,8.20,433,9,0.17,2.07,0,0
Barro Alto,GO,11408,12.74,1454,19,0.17,1.31,0,0
Bela Vista de Goiás,GO,30492,9.58,2922,79,0.26,2.70,1,1
Bom Jardim de Goiás,GO,8869,11.27,1000,16,0.18,1.60,2,0
Bom Jesus de Goiás,GO,25648,11.58,2969,113,0.44,3.80,0,0
Bonfinópolis,GO,9919,4.97,493,29,0.29,5.87,1,0
Bonópolis,GO,4493,5.14,231,3,0.07,1.29,0,0
Brazabrantes,GO,3746,13.96,523,3,0.08,0.57,0,0
Britânia,GO,5797,11.54,669,7,0.12,1.04,0,0
Buriti Alegre,GO,9484,10.93,1037,33,0.35,3.18,0,0
Buriti de Goiás,GO,2476,11.55,286,9,0.36,3.14,0,0
Buritinópolis,GO,3283,6.06,199,3,0.09,1.50,0,0
Cabeceiras,GO,8046,4.88,393,16,0.20,4.06,0,0
Cachoeira Alta,GO,12666,13.21,1673,23,0.18,1.37,0,0
Cachoeira Dourada,GO,8031,9.72,781,29,0.36,3.71,1,1
Cachoeira de Goiás,GO,1342,8.41,113,2,0.15,1.75,0,0
Caiapônia,GO,19107,7.59,1451,39,0.20,2.69,0,0
Caldas Novas,GO,93196,11.47,10690,251,0.27,2.35,1,1
